Family,Descriptor,Dimension
ExtendedTopochemicalAtom,ETA_shape_p,2D
ExtendedTopochemicalAtom,ETA_shape_y,2D
ExtendedTopochemicalAtom,ETA_shape_x,2D
ExtendedTopochemicalAtom,ETA_beta,2D
ExtendedTopochemicalAtom,AETA_beta,2D
ExtendedTopochemicalAtom,ETA_beta_s,2D
ExtendedTopochemicalAtom,AETA_beta_s,2D
ExtendedTopochemicalAtom,ETA_beta_ns,2D
ExtendedTopochemicalAtom,AETA_beta_ns,2D
ExtendedTopochemicalAtom,ETA_beta_ns_d,2D
ExtendedTopochemicalAtom,AETA_beta_ns_d,2D
ExtendedTopochemicalAtom,ETA_eta,2D
ExtendedTopochemicalAtom,AETA_eta,2D
ExtendedTopochemicalAtom,ETA_eta_L,2D
ExtendedTopochemicalAtom,AETA_eta_L,2D
ExtendedTopochemicalAtom,ETA_eta_R,2D
ExtendedTopochemicalAtom,AETA_eta_R,2D
ExtendedTopochemicalAtom,ETA_eta_RL,2D
ExtendedTopochemicalAtom,AETA_eta_RL,2D
ExtendedTopochemicalAtom,ETA_eta_F,2D
ExtendedTopochemicalAtom,AETA_eta_F,2D
ExtendedTopochemicalAtom,ETA_eta_FL,2D
ExtendedTopochemicalAtom,AETA_eta_FL,2D
ExtendedTopochemicalAtom,ETA_eta_B,2D
ExtendedTopochemicalAtom,AETA_eta_B,2D
ExtendedTopochemicalAtom,ETA_eta_BR,2D
ExtendedTopochemicalAtom,AETA_eta_BR,2D
ExtendedTopochemicalAtom,ETA_dAlpha_A,2D
ExtendedTopochemicalAtom,ETA_dAlpha_B,2D
ExtendedTopochemicalAtom,ETA_epsilon_1,2D
ExtendedTopochemicalAtom,ETA_epsilon_2,2D
ExtendedTopochemicalAtom,ETA_epsilon_3,2D
ExtendedTopochemicalAtom,ETA_epsilon_4,2D
ExtendedTopochemicalAtom,ETA_epsilon_5,2D
ExtendedTopochemicalAtom,ETA_dEpsilon_A,2D
ExtendedTopochemicalAtom,ETA_dEpsilon_B,2D
ExtendedTopochemicalAtom,ETA_dEpsilon_C,2D
ExtendedTopochemicalAtom,ETA_dEpsilon_D,2D
ExtendedTopochemicalAtom,ETA_dBeta,2D
ExtendedTopochemicalAtom,AETA_dBeta,2D
ExtendedTopochemicalAtom,ETA_psi_1,2D
ExtendedTopochemicalAtom,ETA_dPsi_A,2D
ExtendedTopochemicalAtom,ETA_dPsi_B,2D
FragmentComplexity,fragCpx,2D
Framework,fMF,2D
GeometricalIndex,GeomDiameter,3D
GeometricalIndex,GeomRadius,3D
GeometricalIndex,GeomShapeIndex,3D
GeometricalIndex,GeomPetitjeanIndex,3D
GravitationalIndex,GRAV,3D
GravitationalIndex,GRAVH,3D
GravitationalIndex,GRAVp,3D
GravitationalIndex,GRAVHp,3D
HydrogenBond,nHBAcc,2D
HydrogenBond,nHBDon,2D
InformationContent,IC0,2D
InformationContent,IC1,2D
InformationContent,IC2,2D
InformationContent,IC3,2D
InformationContent,IC4,2D
InformationContent,IC5,2D
InformationContent,TIC0,2D
InformationContent,TIC1,2D
InformationContent,TIC2,2D
InformationContent,TIC3,2D
InformationContent,TIC4,2D
InformationContent,TIC5,2D
InformationContent,SIC0,2D
InformationContent,SIC1,2D
InformationContent,SIC2,2D
InformationContent,SIC3,2D
InformationContent,SIC4,2D
InformationContent,SIC5,2D
InformationContent,BIC0,2D
InformationContent,BIC1,2D
InformationContent,BIC2,2D
InformationContent,BIC3,2D
InformationContent,BIC4,2D
InformationContent,BIC5,2D
InformationContent,CIC0,2D
InformationContent,CIC1,2D
InformationContent,CIC2,2D
InformationContent,CIC3,2D
InformationContent,CIC4,2D
InformationContent,CIC5,2D
InformationContent,MIC0,2D
InformationContent,MIC1,2D
InformationContent,MIC2,2D
InformationContent,MIC3,2D
InformationContent,MIC4,2D
InformationContent,MIC5,2D
InformationContent,ZMIC0,2D
InformationContent,ZMIC1,2D
InformationContent,ZMIC2,2D
InformationContent,ZMIC3,2D
InformationContent,ZMIC4,2D
InformationContent,ZMIC5,2D
KappaShapeIndex,Kier1,2D
KappaShapeIndex,Kier2,2D
KappaShapeIndex,Kier3,2D
Lipinski,Lipinski,2D
Lipinski,GhoseFilter,2D
LogS,FilterItLogS,2D
McGowanVolume,VMcGowan,2D
MoeType,LabuteASA,2D
MoeType,PEOE_VSA1,2D
MoeType,PEOE_VSA2,2D
MoeType,PEOE_VSA3,2D
MoeType,PEOE_VSA4,2D
MoeType,PEOE_VSA5,2D
MoeType,PEOE_VSA6,2D
MoeType,PEOE_VSA7,2D
MoeType,PEOE_VSA8,2D
MoeType,PEOE_VSA9,2D
MoeType,PEOE_VSA10,2D
MoeType,PEOE_VSA11,2D
MoeType,PEOE_VSA12,2D
MoeType,PEOE_VSA13,2D
MoeType,SMR_VSA1,2D
MoeType,SMR_VSA2,2D
MoeType,SMR_VSA3,2D
MoeType,SMR_VSA4,2D
MoeType,SMR_VSA5,2D
MoeType,SMR_VSA6,2D
MoeType,SMR_VSA7,2D
MoeType,SMR_VSA8,2D
MoeType,SMR_VSA9,2D
MoeType,SlogP_VSA1,2D
MoeType,SlogP_VSA2,2D
MoeType,SlogP_VSA3,2D
MoeType,SlogP_VSA4,2D
MoeType,SlogP_VSA5,2D
MoeType,SlogP_VSA6,2D
MoeType,SlogP_VSA7,2D
MoeType,SlogP_VSA8,2D
MoeType,SlogP_VSA9,2D
MoeType,SlogP_VSA10,2D
MoeType,SlogP_VSA11,2D
MoeType,EState_VSA1,2D
MoeType,EState_VSA2,2D
MoeType,EState_VSA3,2D
MoeType,EState_VSA4,2D
MoeType,EState_VSA5,2D
MoeType,EState_VSA6,2D
MoeType,EState_VSA7,2D
MoeType,EState_VSA8,2D
MoeType,EState_VSA9,2D
MoeType,EState_VSA10,2D
MoeType,VSA_EState1,2D
MoeType,VSA_EState2,2D
MoeType,VSA_EState3,2D
MoeType,VSA_EState4,2D
MoeType,VSA_EState5,2D
MoeType,VSA_EState6,2D
MoeType,VSA_EState7,2D
MoeType,VSA_EState8,2D
MoeType,VSA_EState9,2D
MolecularDistanceEdge,MDEC-11,2D
MolecularDistanceEdge,MDEC-12,2D
MolecularDistanceEdge,MDEC-13,2D
MolecularDistanceEdge,MDEC-14,2D
MolecularDistanceEdge,MDEC-22,2D
MolecularDistanceEdge,MDEC-23,2D
MolecularDistanceEdge,MDEC-24,2D
MolecularDistanceEdge,MDEC-33,2D
MolecularDistanceEdge,MDEC-34,2D
MolecularDistanceEdge,MDEC-44,2D
MolecularDistanceEdge,MDEO-11,2D
MolecularDistanceEdge,MDEO-12,2D
MolecularDistanceEdge,MDEO-22,2D
MolecularDistanceEdge,MDEN-11,2D
MolecularDistanceEdge,MDEN-12,2D
MolecularDistanceEdge,MDEN-13,2D
MolecularDistanceEdge,MDEN-22,2D
MolecularDistanceEdge,MDEN-23,2D
MolecularDistanceEdge,MDEN-33,2D
MolecularId,MID,2D
MolecularId,AMID,2D
MolecularId,MID_h,2D
MolecularId,AMID_h,2D
MolecularId,MID_C,2D
MolecularId,AMID_C,2D
MolecularId,MID_N,2D
MolecularId,AMID_N,2D
MolecularId,MID_O,2D
MolecularId,AMID_O,2D
MolecularId,MID_X,2D
MolecularId,AMID_X,2D
MomentOfInertia,MOMI-X,3D
MomentOfInertia,MOMI-Y,3D
MomentOfInertia,MOMI-Z,3D
MoRSE,Mor01,3D
MoRSE,Mor02,3D
MoRSE,Mor03,3D
MoRSE,Mor04,3D
MoRSE,Mor05,3D
MoRSE,Mor06,3D
MoRSE,Mor07,3D
MoRSE,Mor08,3D
MoRSE,Mor09,3D
MoRSE,Mor10,3D
MoRSE,Mor11,3D
MoRSE,Mor12,3D
MoRSE,Mor13,3D
MoRSE,Mor14,3D
MoRSE,Mor15,3D
MoRSE,Mor16,3D
MoRSE,Mor17,3D
MoRSE,Mor18,3D
MoRSE,Mor19,3D
MoRSE,Mor20,3D
MoRSE,Mor21,3D
MoRSE,Mor22,3D
MoRSE,Mor23,3D
MoRSE,Mor24,3D
MoRSE,Mor25,3D
MoRSE,Mor26,3D
MoRSE,Mor27,3D
MoRSE,Mor28,3D
MoRSE,Mor29,3D
MoRSE,Mor30,3D
MoRSE,Mor31,3D
MoRSE,Mor32,3D
MoRSE,Mor01m,3D
MoRSE,Mor02m,3D
MoRSE,Mor03m,3D
MoRSE,Mor04m,3D
MoRSE,Mor05m,3D
MoRSE,Mor06m,3D
MoRSE,Mor07m,3D
MoRSE,Mor08m,3D
MoRSE,Mor09m,3D
MoRSE,Mor10m,3D
MoRSE,Mor11m,3D
MoRSE,Mor12m,3D
MoRSE,Mor13m,3D
MoRSE,Mor14m,3D
MoRSE,Mor15m,3D
MoRSE,Mor16m,3D
MoRSE,Mor17m,3D
MoRSE,Mor18m,3D
MoRSE,Mor19m,3D
MoRSE,Mor20m,3D
MoRSE,Mor21m,3D
MoRSE,Mor22m,3D
MoRSE,Mor23m,3D
MoRSE,Mor24m,3D
MoRSE,Mor25m,3D
MoRSE,Mor26m,3D
MoRSE,Mor27m,3D
MoRSE,Mor28m,3D
MoRSE,Mor29m,3D
MoRSE,Mor30m,3D
MoRSE,Mor31m,3D
MoRSE,Mor32m,3D
MoRSE,Mor01v,3D
MoRSE,Mor02v,3D
MoRSE,Mor03v,3D
MoRSE,Mor04v,3D
MoRSE,Mor05v,3D
MoRSE,Mor06v,3D
MoRSE,Mor07v,3D
MoRSE,Mor08v,3D
MoRSE,Mor09v,3D
MoRSE,Mor10v,3D
MoRSE,Mor11v,3D
MoRSE,Mor12v,3D
MoRSE,Mor13v,3D
MoRSE,Mor14v,3D
MoRSE,Mor15v,3D
MoRSE,Mor16v,3D
MoRSE,Mor17v,3D
MoRSE,Mor18v,3D
MoRSE,Mor19v,3D
MoRSE,Mor20v,3D
MoRSE,Mor21v,3D
MoRSE,Mor22v,3D
MoRSE,Mor23v,3D
MoRSE,Mor24v,3D
MoRSE,Mor25v,3D
MoRSE,Mor26v,3D
MoRSE,Mor27v,3D
MoRSE,Mor28v,3D
MoRSE,Mor29v,3D
MoRSE,Mor30v,3D
MoRSE,Mor31v,3D
MoRSE,Mor32v,3D
MoRSE,Mor01se,3D
MoRSE,Mor02se,3D
MoRSE,Mor03se,3D
MoRSE,Mor04se,3D
MoRSE,Mor05se,3D
MoRSE,Mor06se,3D
MoRSE,Mor07se,3D
MoRSE,Mor08se,3D
MoRSE,Mor09se,3D
MoRSE,Mor10se,3D
MoRSE,Mor11se,3D
MoRSE,Mor12se,3D
MoRSE,Mor13se,3D
MoRSE,Mor14se,3D
MoRSE,Mor15se,3D
MoRSE,Mor16se,3D
MoRSE,Mor17se,3D
MoRSE,Mor18se,3D
MoRSE,Mor19se,3D
MoRSE,Mor20se,3D
MoRSE,Mor21se,3D
MoRSE,Mor22se,3D
MoRSE,Mor23se,3D
MoRSE,Mor24se,3D
MoRSE,Mor25se,3D
MoRSE,Mor26se,3D
MoRSE,Mor27se,3D
MoRSE,Mor28se,3D
MoRSE,Mor29se,3D
MoRSE,Mor30se,3D
MoRSE,Mor31se,3D
MoRSE,Mor32se,3D
MoRSE,Mor01p,3D
MoRSE,Mor02p,3D
MoRSE,Mor03p,3D
MoRSE,Mor04p,3D
MoRSE,Mor05p,3D
MoRSE,Mor06p,3D
MoRSE,Mor07p,3D
MoRSE,Mor08p,3D
MoRSE,Mor09p,3D
MoRSE,Mor10p,3D
MoRSE,Mor11p,3D
MoRSE,Mor12p,3D
MoRSE,Mor13p,3D
MoRSE,Mor14p,3D
MoRSE,Mor15p,3D
MoRSE,Mor16p,3D
MoRSE,Mor17p,3D
MoRSE,Mor18p,3D
MoRSE,Mor19p,3D
MoRSE,Mor20p,3D
MoRSE,Mor21p,3D
MoRSE,Mor22p,3D
MoRSE,Mor23p,3D
MoRSE,Mor24p,3D
MoRSE,Mor25p,3D
MoRSE,Mor26p,3D
MoRSE,Mor27p,3D
MoRSE,Mor28p,3D
MoRSE,Mor29p,3D
MoRSE,Mor30p,3D
MoRSE,Mor31p,3D
MoRSE,Mor32p,3D
PathCount,MPC2,2D
PathCount,MPC3,2D
PathCount,MPC4,2D
PathCount,MPC5,2D
PathCount,MPC6,2D
PathCount,MPC7,2D
PathCount,MPC8,2D
PathCount,MPC9,2D
PathCount,MPC10,2D
PathCount,TMPC10,2D
PathCount,piPC1,2D
PathCount,piPC2,2D
PathCount,piPC3,2D
PathCount,piPC4,2D
PathCount,piPC5,2D
PathCount,piPC6,2D
PathCount,piPC7,2D
PathCount,piPC8,2D
PathCount,piPC9,2D
PathCount,piPC10,2D
PathCount,TpiPC10,2D
Polarizability,apol,2D
Polarizability,bpol,2D
RingCount,nRing,2D
RingCount,n3Ring,2D
RingCount,n4Ring,2D
RingCount,n5Ring,2D
RingCount,n6Ring,2D
RingCount,n7Ring,2D
RingCount,n8Ring,2D
RingCount,n9Ring,2D
RingCount,n10Ring,2D
RingCount,n11Ring,2D
RingCount,n12Ring,2D
RingCount,nG12Ring,2D
RingCount,nHRing,2D
RingCount,n3HRing,2D
RingCount,n4HRing,2D
RingCount,n5HRing,2D
RingCount,n6HRing,2D
RingCount,n7HRing,2D
RingCount,n8HRing,2D
RingCount,n9HRing,2D
RingCount,n10HRing,2D
RingCount,n11HRing,2D
RingCount,n12HRing,2D
RingCount,nG12HRing,2D
RingCount,naRing,2D
RingCount,n3aRing,2D
RingCount,n4aRing,2D
RingCount,n5aRing,2D
RingCount,n6aRing,2D
RingCount,n7aRing,2D
RingCount,n8aRing,2D
RingCount,n9aRing,2D
RingCount,n10aRing,2D
RingCount,n11aRing,2D
RingCount,n12aRing,2D
RingCount,nG12aRing,2D
RingCount,naHRing,2D
RingCount,n3aHRing,2D
RingCount,n4aHRing,2D
RingCount,n5aHRing,2D
RingCount,n6aHRing,2D
RingCount,n7aHRing,2D
RingCount,n8aHRing,2D
RingCount,n9aHRing,2D
RingCount,n10aHRing,2D
RingCount,n11aHRing,2D
RingCount,n12aHRing,2D
RingCount,nG12aHRing,2D
RingCount,nARing,2D
RingCount,n3ARing,2D
RingCount,n4ARing,2D
RingCount,n5ARing,2D
RingCount,n6ARing,2D
RingCount,n7ARing,2D
RingCount,n8ARing,2D
RingCount,n9ARing,2D
RingCount,n10ARing,2D
RingCount,n11ARing,2D
RingCount,n12ARing,2D
RingCount,nG12ARing,2D
RingCount,nAHRing,2D
RingCount,n3AHRing,2D
RingCount,n4AHRing,2D
RingCount,n5AHRing,2D
RingCount,n6AHRing,2D
RingCount,n7AHRing,2D
RingCount,n8AHRing,2D
RingCount,n9AHRing,2D
RingCount,n10AHRing,2D
RingCount,n11AHRing,2D
RingCount,n12AHRing,2D
RingCount,nG12AHRing,2D
RingCount,nFRing,2D
RingCount,n4FRing,2D
RingCount,n5FRing,2D
RingCount,n6FRing,2D
RingCount,n7FRing,2D
RingCount,n8FRing,2D
RingCount,n9FRing,2D
RingCount,n10FRing,2D
RingCount,n11FRing,2D
RingCount,n12FRing,2D
RingCount,nG12FRing,2D
RingCount,nFHRing,2D
RingCount,n4FHRing,2D
RingCount,n5FHRing,2D
RingCount,n6FHRing,2D
RingCount,n7FHRing,2D
RingCount,n8FHRing,2D
RingCount,n9FHRing,2D
RingCount,n10FHRing,2D
RingCount,n11FHRing,2D
RingCount,n12FHRing,2D
RingCount,nG12FHRing,2D
RingCount,nFaRing,2D
RingCount,n4FaRing,2D
RingCount,n5FaRing,2D
RingCount,n6FaRing,2D
RingCount,n7FaRing,2D
RingCount,n8FaRing,2D
RingCount,n9FaRing,2D
RingCount,n10FaRing,2D
RingCount,n11FaRing,2D
RingCount,n12FaRing,2D
RingCount,nG12FaRing,2D
RingCount,nFaHRing,2D
RingCount,n4FaHRing,2D
RingCount,n5FaHRing,2D
RingCount,n6FaHRing,2D
RingCount,n7FaHRing,2D
RingCount,n8FaHRing,2D
RingCount,n9FaHRing,2D
RingCount,n10FaHRing,2D
RingCount,n11FaHRing,2D
RingCount,n12FaHRing,2D
RingCount,nG12FaHRing,2D
RingCount,nFARing,2D
RingCount,n4FARing,2D
RingCount,n5FARing,2D
RingCount,n6FARing,2D
RingCount,n7FARing,2D
RingCount,n8FARing,2D
RingCount,n9FARing,2D
RingCount,n10FARing,2D
RingCount,n11FARing,2D
RingCount,n12FARing,2D
RingCount,nG12FARing,2D
RingCount,nFAHRing,2D
RingCount,n4FAHRing,2D
RingCount,n5FAHRing,2D
RingCount,n6FAHRing,2D
RingCount,n7FAHRing,2D
RingCount,n8FAHRing,2D
RingCount,n9FAHRing,2D
RingCount,n10FAHRing,2D
RingCount,n11FAHRing,2D
RingCount,n12FAHRing,2D
RingCount,nG12FAHRing,2D
RotatableBond,nRot,2D
RotatableBond,RotRatio,2D
SLogP,SLogP,2D
SLogP,SMR,2D
TopologicalCharge,GGI1,2D
TopologicalCharge,GGI2,2D
TopologicalCharge,GGI3,2D
TopologicalCharge,GGI4,2D
TopologicalCharge,GGI5,2D
TopologicalCharge,GGI6,2D
TopologicalCharge,GGI7,2D
TopologicalCharge,GGI8,2D
TopologicalCharge,GGI9,2D
TopologicalCharge,GGI10,2D
TopologicalCharge,JGI1,2D
TopologicalCharge,JGI2,2D
TopologicalCharge,JGI3,2D
TopologicalCharge,JGI4,2D
TopologicalCharge,JGI5,2D
TopologicalCharge,JGI6,2D
TopologicalCharge,JGI7,2D
TopologicalCharge,JGI8,2D
TopologicalCharge,JGI9,2D
TopologicalCharge,JGI10,2D
TopologicalCharge,JGT10,2D
TopologicalIndex,Diameter,2D
TopologicalIndex,Radius,2D
TopologicalIndex,TopoShapeIndex,2D
TopologicalIndex,PetitjeanIndex,2D
TopoPSA,TopoPSA(NO),2D
TopoPSA,TopoPSA,2D
VdwVolumeABC,Vabc,2D
VertexAdjacencyInformation,VAdjMat,2D
WalkCount,MWC01,2D
WalkCount,MWC02,2D
WalkCount,MWC03,2D
WalkCount,MWC04,2D
WalkCount,MWC05,2D
WalkCount,MWC06,2D
WalkCount,MWC07,2D
WalkCount,MWC08,2D
WalkCount,MWC09,2D
WalkCount,MWC10,2D
WalkCount,TMWC10,2D
WalkCount,SRW02,2D
WalkCount,SRW03,2D
WalkCount,SRW04,2D
WalkCount,SRW05,2D
WalkCount,SRW06,2D
WalkCount,SRW07,2D
WalkCount,SRW08,2D
WalkCount,SRW09,2D
WalkCount,SRW10,2D
WalkCount,TSRW10,2D
Weight,MW,2D
Weight,AMW,2D
WienerIndex,WPath,2D
WienerIndex,WPol,2D
ZagrebIndex,Zagreb1,2D
ZagrebIndex,Zagreb2,2D
ZagrebIndex,mZagreb1,2D
